product_key,summary_key,name,type,asin,title,rating_number,average_rating,n_candidates,alt_asins,note
intel-core-i5-14400f,intel-core-i5-14400f,Intel Core i5-14400F,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2024-01 출시
intel-core-i5-14600k,intel-core-i5-14600k,Intel Core i5-14600K,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2023-10 출시 (데이터 종료 후)
intel-core-i7-14700k,intel-core-i7-14700k,Intel Core i7-14700K,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2023-10 출시 (데이터 종료 후)
intel-core-ultra-7-265k,intel-core-ultra-7-265k,Intel Core Ultra 7 265K,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2024-10 출시
intel-core-ultra-9-285k,intel-core-ultra-9-285k,Intel Core Ultra 9 285K,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2024-10 출시
amd-ryzen-5-7600,amd-ryzen-5-7600,AMD Ryzen 5 7600,cpu,B0BMQJWBDM,"AMD Ryzen™ 5 7600 6-Core, 12-Thread Unlocked Desktop Processor",125,4.7,1,,
amd-ryzen-7-7700,amd-ryzen-7-7700,AMD Ryzen 7 7700,cpu,B0BMQHSCVF,"AMD Ryzen™ 7 7700 8-Core, 16-Thread Unlocked Desktop Processor",74,4.7,1,,
amd-ryzen-7-9800x3d,amd-ryzen-7-9800x3d,AMD Ryzen 7 9800X3D,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2024-11 출시
amd-ryzen-9-9950x,amd-ryzen-9-9950x,AMD Ryzen 9 9950X,cpu,,,0,,0,,데이터 기간(~2023-09) 밖: 2024-08 출시
amd-ryzen-5-5600,amd-ryzen-5-5600,AMD Ryzen 5 5600,cpu,B0BGJGW69N,"AMD Ryzen™ 5 5600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",3364,4.8,1,,
asus-prime-b760m-a-wifi,asus-prime-b760m-a-wifi,ASUS PRIME B760M-A WIFI,mainboard,B0BR8SH6PD,"ASUS PRIME B760M-A AX D4 Intel B760 (LGA 1700)(13th and 12th Gen)mATX motherboard,PCIe 4.0,2xM.2 slots,2.5Gb LAN,Wi-Fi 6",3,5.0,2,B0BZTB5LKJ,
